Year,Destination,Jan - Residence,Feb - Residence,Mar - Residence,Apr - Residence,May - Residence,Jun - Residence,Jul - Residence,Aug - Residence,Sep - Residence,Oct - Residence,Nov - Residence,Dec - Residence,Jan - Nationality,Feb - Nationality,Mar - Nationality,Apr - Nationality,May - Nationality,Jun - Nationality,Jul - Nationality,Aug - Nationality,Sep - Nationality,Oct - Nationality,Nov - Nationality,Dec - Nationality
2002,Vietnam,1095,1541,1617,1566,1706,1755,2244,2094,1671,2179,1746,1944,0,0,0,0,0,0,0,0,0,0,0,0
2002,Cambodia,494,512,612,873,417,529,600,686,685,748,814,735,0,0,0,0,0,0,0,0,0,0,0,0
2002,South Africa,1476,1043,1591,1102,827,799,1419,882,743,1594,1159,1085,0,0,0,0,0,0,0,0,0,0,0,0
2002,India,9415,8939,15262,16577,21383,19072,16903,18537,11186,15954,16415,13717,0,0,0,0,0,0,0,0,0,0,0,0
2002,Iran,617,391,1471,781,564,505,738,781,1092,1140,705,629,0,0,0,0,0,0,0,0,0,0,0,0
2002,Poland,3089,2864,7900,2992,4663,5329,4434,4661,4123,8609,8539,5590,0,0,0,0,0,0,0,0,0,0,0,0
2002,Italy,1123,1020,1752,1066,1062,943,1306,3411,1477,1494,1216,935,0,0,0,0,0,0,0,0,0,0,0,0
2002,Russian Federation,1008,454,459,564,398,208,285,372,217,421,405,276,0,0,0,0,0,0,0,0,0,0,0,0
2002,USA,8296,8444,13871,12850,9775,10588,11391,11017,8420,12690,11832,8746,0,0,0,0,0,0,0,0,0,0,0,0
2002,Canada,2785,2900,3901,3949,2478,2262,2934,3059,2083,2965,3337,2343,0,0,0,0,0,0,0,0,0,0,0,0
2002,Saudi Arabia,1213,1448,1817,1591,1844,3221,13935,11050,4632,2117,905,1534,0,0,0,0,0,0,0,0,0,0,0,0
2002,UAE,735,631,646,784,536,735,3183,4605,842,594,275,558,0,0,0,0,0,0,0,0,0,0,0,0
2002,Turkey,365,438,559,426,387,459,472,683,402,666,543,342,0,0,0,0,0,0,0,0,0,0,0,0
2002,Germany,3881,4384,7992,6929,3669,3008,3894,4355,3880,4938,4825,2890,0,0,0,0,0,0,0,0,0,0,0,0
2002,Netherlands,3064,2990,4333,2568,3079,2497,4129,4363,3154,3868,3269,1989,0,0,0,0,0,0,0,0,0,0,0,0
2002,France,1959,2282,3390,2259,2025,1758,2454,3462,1827,2472,2067,1479,0,0,0,0,0,0,0,0,0,0,0,0
2002,Switzerland,1599,1359,1992,1342,1166,879,1221,1386,976,1395,1391,908,0,0,0,0,0,0,0,0,0,0,0,0
2003,Australia,15960,13093,11022,7923,7523,7398,8853,6801,16415,18128,15151,16240,0,0,0,0,0,0,0,0,0,0,0,0
2003,New Zealand,1925,1654,1482,1118,1068,1137,1335,1104,2649,2095,1603,1812,0,0,0,0,0,0,0,0,0,0,0,0
